                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4998,                 3.3209,                 2.6986,                 1.6013,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.066751,             3.3282e-05,             3.3282e-05
                      2,                 1.4223,                 2.9953,                 2.3043,                 1.5395,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.03345,             6.6016e-05,             6.6016e-05
                      3,                 1.3761,                   2.85,                 2.1658,                 1.5028,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00014912,              9.815e-05,              9.815e-05
                      4,                 1.3614,                 2.7774,                  2.089,                 1.4882,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               9.73e-05,               9.73e-05,               9.73e-05
                      5,                 1.3342,                 2.7177,                 2.0079,                 1.4659,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               9.64e-05,               9.64e-05,               9.64e-05
                      6,                 1.3091,                 2.6605,                 1.9412,                 1.4443,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               9.55e-05,               9.55e-05,               9.55e-05
                      7,                 1.2942,                 2.6162,                  1.906,                 1.4334,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               9.46e-05,               9.46e-05,               9.46e-05
                      8,                 1.2769,                 2.5721,                 1.8496,                 1.4175,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               9.37e-05,               9.37e-05,               9.37e-05
                      9,                 1.2612,                 2.5329,                 1.8178,                 1.4049,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               9.28e-05,               9.28e-05,               9.28e-05
                     10,                 1.2398,                 2.4917,                 1.7654,                 1.3947,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               9.19e-05,               9.19e-05,               9.19e-05
                     11,                 1.2309,                  2.472,                 1.7325,                 1.3809,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                9.1e-05,                9.1e-05,                9.1e-05
                     12,                 1.2154,                 2.4256,                 1.6981,                 1.3734,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               9.01e-05,               9.01e-05,               9.01e-05
                     13,                 1.2044,                 2.3967,                 1.6647,                 1.3613,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               8.92e-05,               8.92e-05,               8.92e-05
                     14,                 1.1948,                 2.3775,                 1.6422,                 1.3587,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               8.83e-05,               8.83e-05,               8.83e-05
