                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5165,                 3.3602,                 2.7546,                  1.612,                 0.4337,                0.17301,                0.14208,                0.07809,                0.48539,                0.06646,                0.06168,                0.02782,                 1.9564,                 10.029,                 3.0799,                 1.9583,               0.066757,             3.3276e-05,             3.3276e-05
                      2,                 1.4312,                 3.0196,                 2.3523,                 1.5414,                0.37858,                0.30189,                0.27168,                0.15949,                0.35182,                0.25342,                0.21473,                0.10156,                 1.5873,                 3.4539,                 2.4476,                 1.6804,               0.033456,              6.541e-05,              6.541e-05
                      3,                 1.3934,                 2.8789,                 2.1956,                 1.5134,                0.38883,                0.31372,                0.29225,                0.17638,                0.36877,                0.29193,                0.26236,                0.14046,                 1.5399,                 2.8725,                 2.3182,                 1.6311,             0.00015372,             9.6345e-05,             9.6345e-05
                      4,                 1.3668,                 2.8021,                 2.1104,                 1.4889,                0.39415,                0.35029,                0.30741,                0.18417,                0.39625,                0.32359,                0.28032,                0.14682,                 1.5309,                 2.9036,                 2.2994,                 1.6073,               9.46e-05,               9.46e-05,               9.46e-05
                      5,                 1.3411,                 2.7232,                 2.0299,                 1.4695,                 0.4121,                0.36427,                0.33899,                0.21023,                0.39353,                0.34443,                0.31184,                0.17093,                 1.4959,                 2.7854,                 2.1482,                  1.601,               9.28e-05,               9.28e-05,               9.28e-05
                      6,                 1.3116,                 2.6524,                 1.9538,                 1.4485,                0.42677,                0.39442,                0.35915,                0.22443,                0.41625,                0.37004,                0.33416,                0.18047,                 1.4702,                 2.7487,                 2.0749,                 1.5589,                9.1e-05,                9.1e-05,                9.1e-05
                      7,                 1.2971,                 2.6208,                 1.9109,                  1.432,                0.44212,                0.39279,                0.36554,                0.22757,                0.43306,                0.36845,                0.33827,                0.18616,                 1.4731,                 2.7221,                 2.0608,                 1.5513,               8.92e-05,               8.92e-05,               8.92e-05
                      8,                 1.2772,                 2.5692,                 1.8623,                 1.4205,                0.45842,                0.40313,                0.38304,                0.23877,                0.44175,                  0.381,                0.35672,                0.19496,                  1.452,                  2.643,                 1.9951,                 1.5445,               8.74e-05,               8.74e-05,               8.74e-05
                      9,                 1.2572,                 2.5277,                 1.8035,                 1.4037,                0.47533,                 0.3877,                0.37721,                0.23372,                0.45043,                0.36708,                0.34221,                0.18751,                 1.4397,                  2.683,                 2.0071,                 1.5273,               8.56e-05,               8.56e-05,               8.56e-05
                     10,                 1.2427,                 2.4908,                 1.7662,                 1.3925,                0.46363,                0.40694,                0.39387,                0.24906,                0.46373,                0.38164,                0.36233,                0.20175,                 1.4344,                 2.6364,                  1.943,                 1.5318,               8.38e-05,               8.38e-05,               8.38e-05
                     11,                  1.234,                 2.4563,                 1.7323,                 1.3804,                 0.4545,                0.41836,                0.39259,                0.24679,                0.45421,                0.39113,                0.36507,                0.20091,                 1.4303,                 2.6226,                 1.9599,                 1.5253,                8.2e-05,                8.2e-05,                8.2e-05
                     12,                 1.2141,                 2.4186,                 1.6866,                 1.3651,                0.47276,                0.42139,                0.40315,                0.25527,                0.46932,                0.39635,                0.37441,                0.21038,                  1.409,                 2.6091,                 1.9241,                 1.5095,               8.02e-05,               8.02e-05,               8.02e-05
                     13,                 1.2048,                 2.3887,                 1.6489,                 1.3612,                0.48205,                0.40958,                0.40265,                0.25654,                0.46081,                0.38944,                0.37046,                0.20672,                 1.4141,                  2.591,                 1.9099,                 1.5165,               7.84e-05,               7.84e-05,               7.84e-05
                     14,                 1.1855,                 2.3455,                 1.6128,                 1.3464,                 0.4908,                0.40791,                0.40185,                0.25432,                0.50484,                0.37685,                0.37314,                0.20772,                 1.4111,                 2.6448,                  1.912,                  1.508,               7.66e-05,               7.66e-05,               7.66e-05
                     15,                 1.1747,                 2.3186,                 1.5811,                 1.3363,                0.49829,                0.42001,                0.40952,                0.25622,                0.49748,                0.39593,                0.38506,                0.21168,                 1.4278,                 2.5983,                 1.8849,                 1.5026,               7.48e-05,               7.48e-05,               7.48e-05
                     16,                 1.1609,                  2.282,                 1.5481,                 1.3229,                0.50324,                 0.4298,                0.42046,                0.26662,                0.48624,                0.41138,                0.39125,                0.21508,                 1.3988,                 2.6112,                 1.8511,                 1.4943,                7.3e-05,                7.3e-05,                7.3e-05
                     17,                 1.1476,                 2.2673,                 1.5229,                  1.313,                0.49571,                0.43495,                0.42077,                0.27065,                0.48652,                0.41266,                0.39459,                 0.2196,                 1.3998,                 2.5768,                  1.847,                 1.4983,               7.12e-05,               7.12e-05,               7.12e-05
                     18,                 1.1393,                 2.2313,                 1.4904,                 1.3091,                0.50816,                0.42536,                0.42955,                0.27672,                0.50474,                0.40394,                0.40427,                0.22571,                 1.3986,                 2.5926,                 1.8293,                 1.4986,               6.94e-05,               6.94e-05,               6.94e-05
                     19,                 1.1309,                  2.214,                 1.4637,                 1.3019,                0.49862,                0.44074,                0.43268,                0.27707,                0.49823,                0.41296,                0.40688,                0.22725,                 1.4112,                 2.5943,                 1.8336,                  1.508,               6.76e-05,               6.76e-05,               6.76e-05
                     20,                  1.116,                 2.1762,                 1.4331,                 1.2923,                0.50118,                0.44446,                0.43261,                0.27905,                0.49837,                0.42651,                0.40922,                0.22972,                 1.3892,                 2.6052,                 1.8142,                 1.4879,               6.58e-05,               6.58e-05,               6.58e-05
