                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2968,                 4.5766,                 4.2912,                 2.3892,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.8046,             3.2318e+11,              9.813e+09,             1.0721e+07,                 0.0829,                 0.0019,                 0.0019
                      2,                 2.6162,                 4.6886,                 4.1373,                 2.7863,                  7e-05,                0.00148,                  4e-05,                  1e-05,                  3e-05,                0.00038,                  1e-05,                      0,                 4.5901,             2.7372e+13,             1.2775e+10,             1.2601e+07,               0.064514,              0.0035139,              0.0035139
                      3,                 2.5384,                 4.6744,                 4.0873,                 2.6967,                  7e-05,                0.00148,                  4e-05,                  1e-05,                  3e-05,                0.00038,                  1e-05,                      0,                 3.7956,             1.7669e+10,             2.1233e+08,             3.9334e+05,               0.045732,              0.0047318,              0.0047318
                      4,                 2.4763,                 4.6342,                 4.0512,                 2.6845,                      0,                0.00028,                      0,                      0,                      0,                      0,                      0,                      0,                 4.1393,                 5293.9,                  78067,                 154.01,               0.026554,              0.0055537,              0.0055537
                      5,                   2.45,                 4.5826,                 3.9986,                 2.6435,                0.00115,                0.00859,                0.00063,                0.00017,                0.00018,                0.00506,                0.00013,                  6e-05,                 3.4019,                 184.39,                  12662,                 27.427,              0.0069796,              0.0059796,              0.0059796
                      6,                 2.4067,                 4.5388,                 3.9582,                 2.5724,                0.22318,                 0.0073,                0.00081,                0.00033,                0.22278,                0.00341,                0.00049,                0.00018,                 3.1027,                  16.59,                 1708.3,                 5.0132,                0.00505,                0.00505,                0.00505
                      7,                 2.3316,                 4.4419,                 3.8983,                 2.5156,                0.23034,                0.03967,                0.00455,                0.00169,                0.22741,                0.02782,                0.00198,                0.00063,                 2.6886,                 7.7717,                  74.86,                 3.2694,                0.00406,                0.00406,                0.00406
                      8,                 2.2656,                 4.3546,                 3.7778,                 2.4237,                0.37721,                0.07501,                0.02692,                0.01424,                0.37509,                0.03472,                0.02141,                0.00928,                 2.4513,                 4.8975,                  8.385,                 2.6201,                0.00307,                0.00307,                0.00307
                      9,                 2.2164,                 4.2426,                 3.6856,                 2.3609,                0.28776,                0.07218,                0.03407,                0.01597,                  0.285,                0.06991,                0.03063,                0.01342,                 2.3836,                 4.4189,                 6.4632,                 2.4817,                0.00208,                0.00208,                0.00208
                     10,                 2.1853,                 4.1659,                 3.6317,                 2.3323,                 0.4177,                0.08017,                0.04698,                0.02375,                0.41184,                0.06744,                0.03616,                0.01557,                 2.2388,                 4.1853,                 3.8419,                 2.3482,                0.00109,                0.00109,                0.00109
